,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_0_AutoML_20181010_191557,7.485344446705858,2.7359357533951445,7.485344446705858,2.0265607001370682,0.4118414783757856
2,GBM_grid_0_AutoML_20181010_191557_model_8,7.811555990892442,2.7949160972903004,7.811555990892442,2.041863803220043,0.4239938905554325
4,GLM_grid_0_AutoML_20181010_191557_model_0,7.912742024440807,2.8129596556724388,7.912742024440807,2.0535489576955355,0.4248640828489865
8,DeepLearning_0_AutoML_20181010_191557,8.151598849225866,2.855100497219996,8.151598849225866,2.179320219876264,0.4140001461083172
10,DRF_0_AutoML_20181010_191557,8.489946577211674,2.9137512895255266,8.489946577211674,2.2379547069845582,0.4148544219320714
11,XRT_0_AutoML_20181010_191557,8.542268503204093,2.9227159463766053,8.542268503204093,2.1840968680639183,0.4238210233341495
