,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-10 19:16:20, 3.747 sec,0.0,3.2901051149794296,2.45488063793127,10.824791667613805,2.9201168135508646,2.2330449401344925,8.527082204782456
1,,2018-10-10 19:16:20, 3.763 sec,5.0,3.119000926392908,2.3086096472831676,9.72816677883982,2.8232811976232752,2.1191330872454013,7.970916720853116
2,,2018-10-10 19:16:20, 3.775 sec,10.0,2.962875752628684,2.1871642334374792,8.778632725514992,2.7131646018050453,1.9719351248805874,7.361262156487929
3,,2018-10-10 19:16:20, 3.785 sec,15.0,2.844323015070726,2.0877708463526483,8.090173414061027,2.663615221883908,1.8850441193127376,7.094846050251662
4,,2018-10-10 19:16:20, 3.795 sec,20.0,2.7293463324149285,1.996428760130014,7.449331402266822,2.6048550194407483,1.7955218263843191,6.7852696723056605
5,,2018-10-10 19:16:20, 3.805 sec,25.0,2.6404859529676448,1.9376378740583147,6.972166067819452,2.5725195208221474,1.7667784030419438,6.617856685011011
6,,2018-10-10 19:16:20, 3.817 sec,30.0,2.5632505233374285,1.8814098606231624,6.570253245389602,2.565994654555184,1.7533809272194119,6.584328567205779
7,,2018-10-10 19:16:20, 3.829 sec,35.0,2.495095809362383,1.8363280214988855,6.225503097897724,2.5578291152656427,1.7386216454819148,6.5424897829006206
8,,2018-10-10 19:16:20, 3.841 sec,40.0,2.4521953711083873,1.8084668330292204,6.013262138085402,2.5482777562902035,1.7223642972554685,6.493719523203434
9,,2018-10-10 19:16:20, 3.853 sec,45.0,2.407613841655302,1.777995156326782,5.796604410530201,2.5456977978816,1.7165589382693236,6.4805772781392275
10,,2018-10-10 19:16:20, 3.870 sec,50.0,2.3575750181238173,1.7476203243361352,5.558159966081518,2.53538607764553,1.7106202169472835,6.428182562718785
