,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-10 19:16:01, 3.846 sec,0.0,,,,,,
1,,2018-10-10 19:16:01, 3.898 sec,1.0,4.09398781096366,3.0552147239263805,16.76073619631902,4.313440532888941,3.2211538461538463,18.60576923076923
2,,2018-10-10 19:16:01, 3.921 sec,2.0,3.761307737667299,2.86996336996337,14.147435897435898,3.59687364248454,2.7884615384615383,12.9375
3,,2018-10-10 19:16:01, 3.936 sec,3.0,3.877131325587925,2.9110486891385765,15.03214731585518,3.0616877084267795,2.4038461538461537,9.373931623931623
4,,2018-10-10 19:16:01, 3.959 sec,4.0,3.884856006143207,2.9432489451476793,15.092106188466948,2.8595950157052226,2.2283653846153846,8.177283653846153
5,,2018-10-10 19:16:01, 3.985 sec,5.0,3.66941476271826,2.8420673076923078,13.464604700854702,2.7657938073210344,2.140384615384615,7.649615384615384
6,,2018-10-10 19:16:01, 4.008 sec,6.0,3.5576894479400147,2.753585049580473,12.657154207983728,2.6795063488456736,2.0176282051282053,7.1797542735042725
7,,2018-10-10 19:16:01, 4.037 sec,7.0,3.4757272792296963,2.7014200298953663,12.080680119581466,2.6854673138724947,1.9986263736263739,7.211734693877551
8,,2018-10-10 19:16:01, 4.083 sec,8.0,3.3275721294457403,2.579408975979773,11.072736276664058,2.7198135629685525,2.0180288461538463,7.3973858173076925
9,,2018-10-10 19:16:02, 4.105 sec,9.0,3.291766065326156,2.5561811187357035,10.835723828832842,2.7374421899995887,2.034188034188034,7.493589743589744
