,,timestamp,duration,iteration,lambda,predictors,deviance_train,deviance_test,deviance_xval,deviance_se
0,,2018-10-10 20:10:01, 0.000 sec,2,.24E2,26,1.358793075606983,1.3695637438257922,1.3693412039591801,0.00933236499306595
1,,2018-10-10 20:10:01, 0.004 sec,4,.17E2,26,1.350963894169553,1.3635620827031598,1.3634963198269388,0.00929913898098718
2,,2018-10-10 20:10:01, 0.007 sec,6,.13E2,26,1.3405300716280693,1.3555871441151408,1.3556574725139652,0.009262013367880698
3,,2018-10-10 20:10:01, 0.020 sec,8,.92E1,26,1.3267386895273887,1.3450437117764604,1.345203426206075,0.009226655473526121
4,,2018-10-10 20:10:01, 0.023 sec,10,.67E1,26,1.3087658509114837,1.3313180820581816,1.3314118290704795,0.00920507802358033
5,,2018-10-10 20:10:01, 0.033 sec,12,.49E1,26,1.285743006734701,1.3137628825927852,1.3134707306606361,0.00922700985529992
6,,2018-10-10 20:10:01, 0.037 sec,14,.36E1,26,1.2569203803073834,1.2918235589842313,1.2905507331773909,0.009342360693661986
7,,2018-10-10 20:10:01, 0.040 sec,16,.26E1,26,1.2218296515721025,1.265169254615647,1.261960580081227,0.009638595464621027
8,,2018-10-10 20:10:01, 0.043 sec,18,.19E1,26,1.1804524493641146,1.233815231310254,1.2273029543363319,0.010249100311471885
9,,2018-10-10 20:10:01, 0.048 sec,20,.14E1,26,1.1335161608929594,1.1983370594587708,1.1866697898714584,0.011328308656947566
10,,2018-10-10 20:10:01, 0.053 sec,22,.1E1,26,1.0823793907912054,1.1597659192348988,1.1408929895734015,0.013034069515155084
11,,2018-10-10 20:10:01, 0.057 sec,24,.73E0,26,1.0288469206608521,1.119414142192291,1.0914252025163451,0.015482289039096387
12,,2018-10-10 20:10:01, 0.059 sec,26,.53E0,26,0.9749166087196398,1.0787151701990718,1.040243092118275,0.018714115140133106
13,,2018-10-10 20:10:01, 0.065 sec,28,.38E0,26,0.9224484024907961,1.0388932491874439,0.9893421535942964,0.02277056237573189
14,,2018-10-10 20:10:01, 0.069 sec,30,.28E0,26,0.8729512404118801,1.0009274714007554,0.9406821828336902,0.027639335705482854
15,,2018-10-10 20:10:01, 0.073 sec,32,.2E0,26,0.8274638590000457,0.9654774476075507,0.8958389951839513,0.033291044281136495
16,,2018-10-10 20:10:01, 0.076 sec,34,.15E0,26,0.7866310910696492,0.9329951678283345,0.8559551571614015,0.03967017240642676
17,,2018-10-10 20:10:01, 0.080 sec,36,.11E0,26,0.7507362228498203,0.9037825661520268,0.8217517719172358,0.04668626586675274
18,,2018-10-10 20:10:01, 0.083 sec,38,.79E-1,26,0.719786194525694,0.8780817039417106,0.7936162379737685,0.05419983878943882
19,,2018-10-10 20:10:01, 0.087 sec,40,.57E-1,26,0.6935945521511635,0.8560878730031024,0.7716465787981418,0.062052482987151665
20,,2018-10-10 20:10:01, 0.090 sec,42,.42E-1,26,0.6718266174827362,0.8378980477243461,0.7557132874388017,0.0700646413735161
21,,2018-10-10 20:10:01, 0.092 sec,44,.3E-1,26,0.6540643427716136,0.8235380303021638,0.745486554842264,0.07806004497173456
22,,2018-10-10 20:10:01, 0.095 sec,46,.22E-1,26,0.6398511051167264,0.8128493889824421,0.7404968952407168,0.08588777551117355
23,,2018-10-10 20:10:01, 0.099 sec,48,.16E-1,26,0.6287164264440197,0.8055117215850761,0.74016593779841,0.09343262719349993
24,,2018-10-10 20:10:01, 0.102 sec,50,.12E-1,26,0.6202008486002374,0.8010538674770273,0.7438337064547782,0.10061274697504707
25,,2018-10-10 20:10:01, 0.104 sec,52,.85E-2,26,0.6138601326922193,0.7988885726329764,0.7508155709484852,0.10737211384667987
26,,2018-10-10 20:10:01, 0.107 sec,54,.62E-2,26,0.6092755580099102,0.7984113245352662,0.0,0.0
