,model_id,mean_per_class_error,logloss,rmse,mse
0,DeepLearning_grid_0_AutoML_20181010_192309_model_4,0.6411048273760139,3.6230035840542585,0.6212065236600783,0.3858975450378395
1,DeepLearning_grid_0_AutoML_20181010_192309_model_7,0.6604786738685043,1.3853591094578146,0.6018601511046889,0.362235641487759
2,DeepLearning_grid_0_AutoML_20181010_192309_model_6,0.6690333395418142,2.3069843805189043,0.6273445950901869,0.3935612409888706
3,DeepLearning_grid_0_AutoML_20181010_192309_model_5,0.6748876547181633,3.1619928575268053,0.6422063847598448,0.4124290406263098
4,DRF_0_AutoML_20181010_192309,0.6804442168001489,2.0750617984186293,0.6233843524283167,0.3886080508524718
5,GBM_grid_0_AutoML_20181010_192309_model_10,0.685693797727696,1.1717163526502483,0.6141246305509378,0.37714906184932573
6,DeepLearning_0_AutoML_20181010_192309,0.6894132985658409,1.1801128407273922,0.6215108665556079,0.38627575724670266
7,GBM_grid_0_AutoML_20181010_192309_model_9,0.6921391320543863,1.1081258358394208,0.6223147385731166,0.3872756338453264
8,GBM_grid_0_AutoML_20181010_192309_model_28,0.6949547063106385,1.2860313421301888,0.7086843902094973,0.5022335649266071
9,DeepLearning_grid_0_AutoML_20181010_192309_model_1,0.6968606816911902,1.840577546258324,0.629664402034153,0.3964772591890274
10,GBM_grid_0_AutoML_20181010_192309_model_31,0.7033861054200037,1.4419174252925042,0.7600353767889999,0.577653773970797
11,GBM_grid_0_AutoML_20181010_192309_model_30,0.7075188370951083,10.298204632059928,0.7079336650925436,0.5011700741713617
12,GBM_grid_0_AutoML_20181010_192309_model_25,0.7078580741292606,1.2069384633986722,0.6338496194226578,0.4017653400422482
13,GBM_grid_0_AutoML_20181010_192309_model_0,0.7080027599519125,1.2780199283241511,0.6254290972180432,0.3911615556469766
14,DeepLearning_grid_0_AutoML_20181010_192309_model_0,0.7112646675358539,1.6857024797314937,0.6212601238272373,0.3859641414578342
15,GBM_grid_0_AutoML_20181010_192309_model_2,0.7124533094024621,1.2049539094985469,0.6253365560231247,0.39104580829886254
16,GBM_grid_0_AutoML_20181010_192309_model_22,0.7126470140029462,1.5719918505098585,0.7922138129811407,0.6276027254781177
17,GBM_grid_0_AutoML_20181010_192309_model_17,0.7146666045818588,1.1135659709457641,0.6228923052032879,0.3879948238814659
18,GBM_grid_0_AutoML_20181010_192309_model_16,0.7180517787297449,1.4664890007278166,0.766861562439898,0.5880766559477616
19,GLM_grid_0_AutoML_20181010_192309_model_0,0.7191339169305271,1.059283179784961,0.6109927564038954,0.3733121483780298
20,GBM_grid_0_AutoML_20181010_192309_model_29,0.7192018997951202,1.2426671909982978,0.6284634328255791,0.3949662863989113
21,GBM_grid_0_AutoML_20181010_192309_model_3,0.7259983237101881,1.1923706266187073,0.6223729905587707,0.3873481393770677
22,GBM_grid_0_AutoML_20181010_192309_model_33,0.7280564350903334,1.1459783066161129,0.6288456106260675,0.3954468020036717
23,GBM_grid_0_AutoML_20181010_192309_model_4,0.7321605513130937,1.3118759186664084,0.7176639856464069,0.5150415962938861
24,GBM_grid_0_AutoML_20181010_192309_model_6,0.7327221084000745,1.3254409175460329,0.7234218377539463,0.5233391553392971
25,GBM_grid_0_AutoML_20181010_192309_model_1,0.7331411808530452,1.2021310489928367,0.6235394414777697,0.388801435078409
26,GBM_grid_0_AutoML_20181010_192309_model_18,0.7347513503445706,1.5732640123049149,0.7924799380843992,0.6280244522662531
27,GBM_grid_0_AutoML_20181010_192309_model_21,0.7410271931458372,1.573183416197467,0.7924770094812489,0.6280198105563435
28,GBM_grid_0_AutoML_20181010_192309_model_20,0.7411966846712609,1.1381833964692052,0.6383883476453681,0.4075396824093834
29,XRT_0_AutoML_20181010_192309,0.7425284037995903,2.388428100730186,0.6251197658600455,0.39077472166891797
30,GBM_grid_0_AutoML_20181010_192309_model_8,0.7444803501583163,1.5753284097709075,0.7929310896385013,0.6287397129153011
31,GBM_grid_0_AutoML_20181010_192309_model_32,0.7461287018066679,1.3226107316649196,0.7229084638558851,0.5225966471144756
32,DeepLearning_grid_0_AutoML_20181010_192309_model_3,0.7462134475693798,1.2373223023065756,0.6151231129840317,0.3783764441271658
33,DeepLearning_grid_0_AutoML_20181010_192309_model_2,0.756932389644254,1.6102303420319295,0.6712466229989543,0.4505720288875002
34,GBM_grid_0_AutoML_20181010_192309_model_26,0.7658623579810021,1.575036510652048,0.7928724919651788,0.6286467885150726
35,GBM_grid_0_AutoML_20181010_192309_model_23,0.7686179921773142,1.576370550823468,0.7931611217645722,0.6291045650788346
36,GBM_grid_0_AutoML_20181010_192309_model_7,0.7724092009685231,1.5782843768031367,0.7935605997092159,0.6297384254108503
37,GBM_grid_0_AutoML_20181010_192309_model_5,0.7845520581113801,1.5787045122020238,0.7936468456518415,0.6298753156131179
38,StackedEnsemble_BestOfFamily_0_AutoML_20181010_192309,0.8,1.304548237263921,0.6853373107071303,0.4696872294472817
39,StackedEnsemble_AllModels_0_AutoML_20181010_192309,0.8,1.304548237263921,0.6853373107071303,0.4696872294472817
