,model_id,mean_per_class_error,logloss,rmse,mse
0,DeepLearning_grid_0_AutoML_20181010_192309_model_4,0.6411048273760139,3.6230035840542585,0.6212065236600783,0.3858975450378395
4,DRF_0_AutoML_20181010_192309,0.6804442168001489,2.0750617984186293,0.6233843524283167,0.3886080508524718
5,GBM_grid_0_AutoML_20181010_192309_model_10,0.685693797727696,1.1717163526502483,0.6141246305509378,0.37714906184932573
19,GLM_grid_0_AutoML_20181010_192309_model_0,0.7191339169305271,1.059283179784961,0.6109927564038954,0.3733121483780298
29,XRT_0_AutoML_20181010_192309,0.7425284037995903,2.388428100730186,0.6251197658600455,0.39077472166891797
38,StackedEnsemble_BestOfFamily_0_AutoML_20181010_192309,0.8,1.304548237263921,0.6853373107071303,0.4696872294472817
